	url	date	headline	body	source
0	https://www.reuters.com/article/idUSKBN21E11L	March 27, 2020 /  8:36 AM / 8 days ago	Exclusive: Support for Hong Kong protesters' demands rises even as coronavirus halts rallies: poll	HONG KONG (Reuters) - Support for the demands of pro-democracy protesters in Hong Kong has grown even as rallies have paused due to the coronavirus outbreak, according to a survey conducted for Reuters that also showed a widespread lack of confidence in the government’s ability to manage the COVID-19 crisis.  Demands for the resignation of Hong Kong’s leader, Carrie Lam, were supported by 63% of respondents in the poll, conducted by the Hong Kong Public Opinion Research Institute between March 17-20, versus 57% in a poll it conducted in December.  Supporters of the protests outnumbered opponents by a ratio of roughly two to one, with 28% against them compared with 30% in a poll in December, and 58% supporting them, versus 59% previously.  The poll showed a significant increase in the levels of support for key demands of the often-violent demonstrations which rattled the city for most of last year and into early January before the coronavirus crisis.  The survey also showed a widespread lack of confidence in the government’s coronavirus measures, with 54% expressing distrust and 33% giving the thumbs up.  The anti-government protests escalated in June 2019 over a since withdrawn bill that would have allowed extraditions of defendants to mainland China, and later morphed into a movement for greater democracy in the Chinese-ruled city.  Many protesters say Beijing has used its authority under the “one country, two systems” formula, agreed when Britain handed over the city to China in 1997, to undermine freedoms enjoyed in Hong Kong that are unavailable in the mainland.  “It is understandable that protesters resort to extreme means,” said Patrick Yeung, a 32-year-old IT worker who responded to the survey. “I hope Beijing can meddle less in Hong Kong’s affairs, which could actually stabilize Hong Kong and curb people’s anger.”  Beijing denies meddling in Hong Kong and blames the West for fomenting unrest.  For more comments from respondents see.  Lam’s office and China’s Hong Kong and Macau Affairs Office, which comes under the State Council, or cabinet, did not immediately respond to a request for comment.  Support for universal suffrage in Hong Kong, a core demand of protesters aimed at strengthening the territory’s level of autonomy, rose to 68% from 60% in December.  An independent commission of inquiry, which protesters want to look into how the police handled demonstrations, is now supported by 76% of respondents versus 74% previously.  The demands of the protesters “haven’t been diluted, or forgotten, due to the epidemic situation,” said Ma Ngok, associate professor of government and public administration at Chinese University of Hong Kong.  Opposition to the demands of the protesters has remained virtually unchanged at 15%.  “The government should investigate the culprits behind the political crisis and should not accede to other demands from the protesters,” said another respondent, Ming Hon, an unemployed 49-year-old who moved to Hong Kong from mainland China recently and had jobs in cleaning and construction.  For the poll, which had a margin of error of plus or minus 3.2 percentage points, 1,001 respondents were randomly surveyed by telephone in Cantonese, which is spoken by the vast majority of people in Hong Kong. The results were weighted according to the latest population figures.  Following a large rally on New Year’s Day in which some protesters clashed with police, crowds on the streets have dropped from many thousands to a few hundred as Hong Kongers adopted social distancing to fight the coronavirus.  Some recent protests focused on the government’s decision not to fully close the border with mainland China, where the virus is believed to have originated. The administration has since banned all tourist arrivals.  Although Hong Kong has won praise for limiting the outbreak to roughly 450 cases and four deaths, the poll showed that many citizens remain distrustful of the government.  “The results in combating the pandemic are because of the self-discipline of Hong Kong people. The government has nothing to do with it,” said Evelyn Lau, a 23-year-old tutor who participated in the poll.  Another key finding of the survey is that while calls for Hong Kong’s independence from China grew within the margin of error, opposition to the idea has dropped significantly and indifference has increased dramatically.  Support for independence rose from 17% in December to 20%, but opposition tumbled from 68% to 56%, and those not leaning either way doubled to 18%.   “People talk more about it, so it becomes more easy to accept,” said Samson Yuen, assistant professor in the political science department at Lingnan University, referring to the independence issue. “When people talk more about ‘liberating Hong Kong’, it shifts the frame.”   With Legislative Council elections due in September, the pro-democracy/pro-Beijing split remained virtually unchanged from last year’s district council vote, with 58% saying they would vote for a pro-democracy candidate and 22% for a pro-Beijing one, with the rest undecided or not planning to vote.  The degree of support for the protests varied sharply by age, education and whether respondents were born in Hong Kong. Younger and better-educated people born in the city were far more likely to lean pro-democracy or support the protests.  The poll, the second in a series commissioned by Reuters from the independent polling firm to gauge public sentiment amid the city’s worst political crisis in decades, showed respondents mainly blamed Lam’s administration for the state of affairs.  Some 43% of respondents primarily blamed the Hong Kong government, compared with 47% in the previous poll, while 14% blamed the central government in Beijing versus 12% in December. The police and protesters were blamed by about 10% each in both polls.  Many protesters say they are incensed by what they see as an abuse of power by the police in dealing with the unrest. The police say they have used reasonable and appropriate force against illegal acts including vandalism and rioting.  China has denounced acts of violence in the protests, which it sees as being aimed at undermining Chinese sovereignty. 	Reuters
1	https://www.reuters.com/article/idUSL8N2BI0J1	March 27, 2020 /  8:36 AM / 8 days ago	Exclusive: Support for Hong Kong protesters' demands rises even as coronavirus halts rallies: poll	HONG KONG (Reuters) - Support for the demands of pro-democracy protesters in Hong Kong has grown even as rallies have paused due to the coronavirus outbreak, according to a survey conducted for Reuters that also showed a widespread lack of confidence in the government’s ability to manage the COVID-19 crisis.  Demands for the resignation of Hong Kong’s leader, Carrie Lam, were supported by 63% of respondents in the poll, conducted by the Hong Kong Public Opinion Research Institute between March 17-20, versus 57% in a poll it conducted in December.  Supporters of the protests outnumbered opponents by a ratio of roughly two to one, with 28% against them compared with 30% in a poll in December, and 58% supporting them, versus 59% previously.  The poll showed a significant increase in the levels of support for key demands of the often-violent demonstrations which rattled the city for most of last year and into early January before the coronavirus crisis.  The survey also showed a widespread lack of confidence in the government’s coronavirus measures, with 54% expressing distrust and 33% giving the thumbs up.  The anti-government protests escalated in June 2019 over a since withdrawn bill that would have allowed extraditions of defendants to mainland China, and later morphed into a movement for greater democracy in the Chinese-ruled city.  Many protesters say Beijing has used its authority under the “one country, two systems” formula, agreed when Britain handed over the city to China in 1997, to undermine freedoms enjoyed in Hong Kong that are unavailable in the mainland.  “It is understandable that protesters resort to extreme means,” said Patrick Yeung, a 32-year-old IT worker who responded to the survey. “I hope Beijing can meddle less in Hong Kong’s affairs, which could actually stabilize Hong Kong and curb people’s anger.”  Beijing denies meddling in Hong Kong and blames the West for fomenting unrest.  For more comments from respondents see.  Lam’s office and China’s Hong Kong and Macau Affairs Office, which comes under the State Council, or cabinet, did not immediately respond to a request for comment.  Support for universal suffrage in Hong Kong, a core demand of protesters aimed at strengthening the territory’s level of autonomy, rose to 68% from 60% in December.  An independent commission of inquiry, which protesters want to look into how the police handled demonstrations, is now supported by 76% of respondents versus 74% previously.  The demands of the protesters “haven’t been diluted, or forgotten, due to the epidemic situation,” said Ma Ngok, associate professor of government and public administration at Chinese University of Hong Kong.  Opposition to the demands of the protesters has remained virtually unchanged at 15%.  “The government should investigate the culprits behind the political crisis and should not accede to other demands from the protesters,” said another respondent, Ming Hon, an unemployed 49-year-old who moved to Hong Kong from mainland China recently and had jobs in cleaning and construction.  For the poll, which had a margin of error of plus or minus 3.2 percentage points, 1,001 respondents were randomly surveyed by telephone in Cantonese, which is spoken by the vast majority of people in Hong Kong. The results were weighted according to the latest population figures.  Following a large rally on New Year’s Day in which some protesters clashed with police, crowds on the streets have dropped from many thousands to a few hundred as Hong Kongers adopted social distancing to fight the coronavirus.  Some recent protests focused on the government’s decision not to fully close the border with mainland China, where the virus is believed to have originated. The administration has since banned all tourist arrivals.  Although Hong Kong has won praise for limiting the outbreak to roughly 450 cases and four deaths, the poll showed that many citizens remain distrustful of the government.  “The results in combating the pandemic are because of the self-discipline of Hong Kong people. The government has nothing to do with it,” said Evelyn Lau, a 23-year-old tutor who participated in the poll.  Another key finding of the survey is that while calls for Hong Kong’s independence from China grew within the margin of error, opposition to the idea has dropped significantly and indifference has increased dramatically.  Support for independence rose from 17% in December to 20%, but opposition tumbled from 68% to 56%, and those not leaning either way doubled to 18%.   “People talk more about it, so it becomes more easy to accept,” said Samson Yuen, assistant professor in the political science department at Lingnan University, referring to the independence issue. “When people talk more about ‘liberating Hong Kong’, it shifts the frame.”   With Legislative Council elections due in September, the pro-democracy/pro-Beijing split remained virtually unchanged from last year’s district council vote, with 58% saying they would vote for a pro-democracy candidate and 22% for a pro-Beijing one, with the rest undecided or not planning to vote.  The degree of support for the protests varied sharply by age, education and whether respondents were born in Hong Kong. Younger and better-educated people born in the city were far more likely to lean pro-democracy or support the protests.  The poll, the second in a series commissioned by Reuters from the independent polling firm to gauge public sentiment amid the city’s worst political crisis in decades, showed respondents mainly blamed Lam’s administration for the state of affairs.  Some 43% of respondents primarily blamed the Hong Kong government, compared with 47% in the previous poll, while 14% blamed the central government in Beijing versus 12% in December. The police and protesters were blamed by about 10% each in both polls.  Many protesters say they are incensed by what they see as an abuse of power by the police in dealing with the unrest. The police say they have used reasonable and appropriate force against illegal acts including vandalism and rioting.  China has denounced acts of violence in the protests, which it sees as being aimed at undermining Chinese sovereignty. 	Reuters
2	https://www.reuters.com/article/idUSKBN21513Q	March 18, 2020 /  8:52 AM / 17 days ago	Hong Kong rail operator ordered to release police protest footage	HONG KONG (Reuters) - A Hong Kong court on Wednesday ordered rail operator MTR Corp to hand over CCTV footage from a police operation at two subway stations during anti-government protests last year that a student leader plans to use to sue officers.   On Aug. 31, scenes filmed by TV reporters of police beating protesters cowering on the floor of a metro train went viral, sparking outrage and demands for MTR to release full footage.  MTR only released some screen shots through a press release.   The Hong Kong police force maintains it was targeting violent radicals during the incident in and around the Prince Edward metro station. Authorities have repeatedly rejected allegations of police brutality.   Defendant Kex Leung, who is student union president at the Education University, told reporters outside court on Wednesday he planned to use the footage to sue police over what he said was his illegal arrest.    “This is a small victory. I hope Hong Kongers won’t give up. Although the rule of law has been challenged in the past couple of years, we need to maintain our hope,” said Leung, who also says he was beaten by officers.  MTR told Reuters the company respected the court’s decision. Hong Kong police did not immediately respond to a request for comment.   The footage must be released to the student within 10 days, according to the High Court ruling.    Hong Kong protests escalated in June last year, with some of the most fierce clashes erupting on Aug. 31, when police fired tear gas at pro-democracy protesters throwing petrol bombs.   The Chinese-ruled city has been relatively calm this year as it grapples to contain an outbreak of the new coronavirus.  The student leader, who was arrested for illegal assembly and later released, said the court ruling did not allow him to release the footage to the public.  The protesters are angry about what they see as creeping Chinese interference in the former British colony, which returned to China in 1997 under a “one country, two systems” formula intended to guarantee freedoms not enjoyed on the mainland.  China says it is committed to the arrangement and denies meddling. 	Reuters
3	https://www.reuters.com/article/idUSL4N2BB3NO	March 18, 2020 /  8:52 AM / 17 days ago	Hong Kong rail operator ordered to release police protest footage	HONG KONG (Reuters) - A Hong Kong court on Wednesday ordered rail operator MTR Corp to hand over CCTV footage from a police operation at two subway stations during anti-government protests last year that a student leader plans to use to sue officers.   On Aug. 31, scenes filmed by TV reporters of police beating protesters cowering on the floor of a metro train went viral, sparking outrage and demands for MTR to release full footage.  MTR only released some screen shots through a press release.   The Hong Kong police force maintains it was targeting violent radicals during the incident in and around the Prince Edward metro station. Authorities have repeatedly rejected allegations of police brutality.   Defendant Kex Leung, who is student union president at the Education University, told reporters outside court on Wednesday he planned to use the footage to sue police over what he said was his illegal arrest.    “This is a small victory. I hope Hong Kongers won’t give up. Although the rule of law has been challenged in the past couple of years, we need to maintain our hope,” said Leung, who also says he was beaten by officers.  MTR told Reuters the company respected the court’s decision. Hong Kong police did not immediately respond to a request for comment.   The footage must be released to the student within 10 days, according to the High Court ruling.    Hong Kong protests escalated in June last year, with some of the most fierce clashes erupting on Aug. 31, when police fired tear gas at pro-democracy protesters throwing petrol bombs.   The Chinese-ruled city has been relatively calm this year as it grapples to contain an outbreak of the new coronavirus.  The student leader, who was arrested for illegal assembly and later released, said the court ruling did not allow him to release the footage to the public.  The protesters are angry about what they see as creeping Chinese interference in the former British colony, which returned to China in 1997 under a “one country, two systems” formula intended to guarantee freedoms not enjoyed on the mainland.  China says it is committed to the arrangement and denies meddling. 	Reuters
4	https://www.reuters.com/article/idUSL4N2BB2DD	March 18, 2020 /  8:49 AM / 17 days ago	Hong Kong rail operator ordered to release police protest footage	HONG KONG, March 18 (Reuters) - A Hong Kong court on Wednesday ordered rail operator MTR Corp to hand over CCTV footage from a police operation at two subway stations during anti-government protests last year that a student leader plans to use to sue officers.  On Aug. 31, scenes filmed by TV reporters of police beating protesters cowering on the floor of a metro train went viral, sparking outrage and demands for MTR to release full footage.  MTR only released some screen shots through a press release.  The Hong Kong police force maintains it was targeting violent radicals during the incident in and around the Prince Edward metro station. Authorities have repeatedly rejected allegations of police brutality.  Defendant Kex Leung, who is student union president at the Education University, told reporters outside court on Wednesday he planned to use the footage to sue police over what he said was his illegal arrest.  “This is a small victory. I hope Hong Kongers won’t give up. Although the rule of law has been challenged in the past couple of years, we need to maintain our hope,” said Leung, who also claims he was beaten by officers.  MTR and the Hong Kong police did not immediately respond to requests for comment.  The footage must be released to the student within 10 days, according to the High Court ruling.  Hong Kong protests escalated in June last year, with some of the most fierce clashes erupting on Aug. 31, when police fired tear gas at pro-democracy protesters throwing petrol bombs.  The Chinese-ruled city has been relatively calm this year as it grapples to contain an outbreak of the new coronavirus.  The student leader, who was arrested for illegal assembly and later released, said the court ruling did not allow him to release the footage to the public.  The protesters are angry about what they see as creeping Chinese interference in the former British colony, which returned to China in 1997 under a “one country, two systems” formula intended to guarantee freedoms not enjoyed on the mainland. 	Reuters
5	https://www.reuters.com/article/idUSKBN2150JZ	March 18, 2020 /  5:32 AM / 17 days ago	Exclusive: China's internal security force on frontlines of Hong Kong protests	HONG KONG (Reuters) - Officers from China’s top internal security force - the People’s Armed Police – joined Hong Kong police on the frontlines to observe anti-government protests that peaked last year, according to a senior foreign diplomat and an opposition politician.  Hong Kong police took PAP officers to monitor the protesters and their tactics as part of a wider effort by the paramilitary force to deepen its understanding of the Hong Kong situation, they said.  “I’m aware that Hong Kong police officers have taken Chinese security forces to the front during protests, apparently in an observation role,” veteran democratic legislator James To told Reuters.   To said he had reason to believe the Chinese forces included members of locally-based PAP units.  The foreign diplomat, who requested anonymity and declined to be quoted due to sensitivity over commenting on security matters, also said PAP officers accompanied police to the frontlines.   Responding to questions from Reuters, the Chinese Defence Ministry said the PAP was not stationed in Hong Kong, while a Hong Kong police spokesman said they “stress that there is no such visit or observation by any members of the mainland law enforcement agencies”.  The State Council Information Office and the Central Government’s Hong Kong Liaison Office did not respond to Reuters’ questions.  The diplomat and three other foreign envoys, however, estimated that China’s government had ramped up the paramilitary People’s Armed Police (PAP) presence in Hong Kong to as many as 4,000 personnel - far more than previously known estimates.  Their assessments were based on intense scrutiny of the security forces’ response to the pro-democracy protests, which began last June, but have ebbed this year amid the ongoing coronavirus crisis.  Reuters had reported in September that an unknown number of PAP were among a surge in Chinese security forces moved quietly into bases across the city last year as Hong Kong’s government struggled to contain the mounting political unrest.  The rapidly-modernized PAP is the mainland’s core paramilitary and anti-riot force and operates separately from China’s People’s Liberation Army (PLA).    Under 2018 reforms, both the PAP and PLA are under the ultimate command of Chinese President Xi Jinping, who sits at the apex of the Communist Party’s Central Military Commission.  While both Beijing and local Hong Kong authorities have been relatively open about the low-key role of the PLA in the city, they have never confirmed the presence of the PAP.   Some local legal experts and politicians fear the presence of the PAP - which has been devoted to internal security in mainland China - breaches the laws that protect Hong Kong’s autonomy under Chinese rule.  Those laws provide for Beijing control over foreign affairs and defense, but give Hong Kong its own government, law enforcement bodies and legal system.  “I think the police and government should make clear what has been going on to ensure one country-two systems is being respected,” To said, adding that he believed the PAP presence would remain in the city for the foreseeable future.  Lawrence Li, a spokesman for the Hong Kong government’s security bureau, said outside law enforcement agencies, including from the mainland, did not have the authority to enforce laws within Hong Kong.   Neither To nor the foreign diplomats saw any sign yet that the PAP have taken enforcement measures in Hong Kong, or deployed from their bases in other than observation roles.  But the diplomats said that taken together with the numbers of PLA troops that also expanded last year, the estimated 12,000-strong force marks the largest ever Chinese security deployment in Hong Kong.   The PAP units are concentrated within PLA bases at the former British military forts at Stonecutters Island and Stanley on southern Hong Kong island - both shielded from public view, the diplomatic sources said.   The size of the force has stayed relatively static in recent months, they said.   The often violent street protests erupted over a now scrapped extradition bill that could have sent people to mainland China for trial, but they later broadened into wider calls for democracy.  While they have subsided during the health scare, many people expect the protests to resume ahead of local legislative elections in September.  Diplomatic envoys and security analysts say they are closely watching the PAP in Hong Kong, because they believe it, rather than the army, would spearhead any crackdown should the Communist Party leadership in Beijing choose to intervene in future protests.  They believe any such deployment remains unlikely, however, given Hong Kong’s large and well equipped police force and the likely international impact of any such move.   Formed in 1982, the PAP was used to suppress insurrection and riots in restive mainland regions such as Xinjiang and Tibet.  Singapore-based military analyst Alexander Neill said the deployment of the PAP force to Hong Kong was a sign Beijing sees protests in the city as a vital issue of domestic security.  “Looking at it through that lens, it is a Chinese internal security problem and that is what the PAP is there for. That is their role, so I think they are going to be in Hong Kong for some time yet,” Neill said.   ANTI-RIOT DRILLS      The PAP have their own vehicles, including amphibious armored personnel carriers, bulldozers and barbed-wired laying trucks. They stage frequent and extensive anti-riot drills on the bases, the diplomatic sources said.  While they share PLA facilities, they operate separately.  PLA commanders appear at some government and diplomatic functions as part of their traditionally symbolic role in Hong Kong, but the PAP has no such public role.  The Hong Kong police are preparing to take a tougher line against any resurgence in the demonstrations ahead of the elections in September, officials have said.   And the government’s budget announced last month boosted spending on police by 25 per cent to HK$25 billion ($3.31 billion), which will partly fund recruitment of 2,500 more officers for a force already 30,000-strong.  Assistant police commissioner Yuen Yuk-kin told reporters earlier this month that authorities were increasing monitoring of what he described as “local terrorism,” a threat he said was “gaining steam”. 	Reuters
6	https://www.reuters.com/article/idUSKBN20V0KN	March 8, 2020 /  1:04 PM / a month ago	Hong Kong pro-democracy protesters hold vigil to mourn student's death	HONG KONG (Reuters) - Hundreds of black-clad Hong Kong protesters, holding candles, returned on Sunday to the parking lot where a student fell to his death in November, vowing to continue their fight for greater democracy in the Chinese-ruled city.  The death of Chow Tsz-lok, 22, who fell from the third to the second floor in a parking lot in the eastern Tseung Kwan O district as police cleared crowds in the area, was the catalyst for some of the most intense clashes since the protests escalated in June last year.  Fears over the coronavirus have reduced the scale and frequency of protests this year, but there have been violent demonstrations on some weekends in a sign the pro-democracy movement remains active.  On Sunday evening, protesters, mostly in trademark black clothing and surgical masks, laid down white flowers, origami cranes and messages on colored post-it notes at a makeshift altar where placards read “Keep the heat; Fight until the end”.  One protester was waving a “Liberate Hong Kong” black flag, while a banner that read “murderer” was hung up.  There was a heavy riot police presence nearby and at least one arrest was made.   “It’s very touching. When I came here half an hour ago I almost cried, because I didn’t expect so many people would come today,” said 22-year-old computer programer Sean Chow, who is not related to the student who died.  “(His death) means something that is unresolved and something that needs to be fully investigated and I believe all the people here want an answer. It’s an absolute tragedy.”  Earlier on Sunday, Hong Kong police said they arrested 17 people, aged between 21 and 53, during an overnight raid of 22 flats in relation to a series of bomb plots between late January and early February.  Items including three homemade bombs, three electronic circuits and 2,600 kilograms of chemicals were found.  “In recent months Hong Kong has been faced with an ongoing ... violent campaign designed to intimidate, in order to try to achieve political aims,” Alick McWhirter, senior bomb disposal officer of the Explosive Ordnance Disposal Bureau told reporters.  “It seems a potential tragedy has been averted.”  Police said the bombs were intended to be used in public events and aimed at police officers.  Protesters are angry about what they see as creeping Chinese interference in Hong Kong, which returned to China in 1997 under a “one country, two systems” formula intended to guarantee freedoms that are not enjoyed on the mainland.  China says it is committed to the arrangement and denies meddling. It has accused foreign governments including the United States and Britain of inciting the unrest. 	Reuters
7	https://www.reuters.com/article/idUSL4N2AW1UI	March 3, 2020 /  7:17 AM / a month ago	Robert Walters' pretax profit falls, warns of likely coronavirus hit	March 3 (Reuters) - British recruiting firm Robert Walters Plc’s annual pretax profit fell 3%, as global economic uncertainties sparked by Brexit, the Sino-U.S. trade war and the Hong Kong protests forced employers to delay hiring.  The coronavirus outbreak, which has claimed more than 3,000 lives since originating in China late last year, will likely hurt the company’s full-year profit expectations, Robert Walters said on Tuesday. 	Reuters
8	https://www.reuters.com/article/idUSKBN20N073	February 29, 2020 /  5:42 AM / a month ago	United States expresses concern over arrest of Hong Kong publisher	HONG KONG (Reuters) - The U.S. State Department has expressed concern after Chinese-ruled Hong Kong arrested publishing tycoon Jimmy Lai, an outspoken critic of Beijing, and two pro-democracy activists.  The arrests come after a period of relative calm following months of anti-government protests over perceptions that China is tightening its grip on the city, though Beijing denies meddling and blames the West for fomenting unrest.  Lai and veteran democracy activists Lee Cheuk-yan and Yeung Sum, were arrested on Friday in the Asian financial hub on charges of illegal assembly, drawing condemnation from international rights groups, media said.   “We are concerned by the arrest of prominent Hong Kong businessman and publisher Jimmy Lai and two other longtime advocates for civil liberties and democracy,” Morgan Ortagus, a spokeswoman for the U.S. State Department, said on Friday.  “We expect Hong Kong authorities not to use law enforcement selectively for political purposes, and to handle cases fairly and transparently,” she added in a statement.  The spokeswoman also called for the rule of law and Hong Kong people’s rights to freedom of peaceful assembly and freedom of expression to be preserved.  The police said three local men, aged 63 to 72, were arrested for suspected participation in a non-approved gathering but did not confirm their names.  Authorities in the former British colony have arrested more than 7,000 people for involvement in Hong Kong’s protests, many on charges of rioting that can carry jail terms of up to 10 years. It is unclear how many are still in custody.  The arrest of the three men was outrageous, said Chris Patten, the last British governor of Hong Kong, adding that there was no doubt its government was acting at Beijing’s instructions.  “This decision will send yet another signal to the world that the Chinese Communist Party is intent on throttling decency and freedom in Hong Kong,” Patten said.  Lai, a self-made millionaire who has made financial contributions to Hong Kong’s pro-democracy movement and been a target of criticism by mainland Chinese media, was arrested in 2014 for refusing to leave a key pro-democracy protest site.  After the arrest he resigned as editor in chief of Apple Daily. He has also come under scrutiny from Hong Kong’s anti-graft agency, which raided his home in 2014.  In an editorial on Friday, China’s state-owned Global Times tabloid called Lai “a force of evil”, rather than the “hero” of democracy painted by the West.   “..he is a traitor, a criminal and a force of evil who has sowed violence and chaos in arguably one of the freest and most prosperous cities in the world,” it added. 	Reuters
9	https://www.reuters.com/article/idUSL4N2AT01M	February 29, 2020 /  5:42 AM / a month ago	United States expresses concern over arrest of Hong Kong publisher	HONG KONG (Reuters) - The U.S. State Department has expressed concern after Chinese-ruled Hong Kong arrested publishing tycoon Jimmy Lai, an outspoken critic of Beijing, and two pro-democracy activists.  The arrests come after a period of relative calm following months of anti-government protests over perceptions that China is tightening its grip on the city, though Beijing denies meddling and blames the West for fomenting unrest.  Lai and veteran democracy activists Lee Cheuk-yan and Yeung Sum, were arrested on Friday in the Asian financial hub on charges of illegal assembly, drawing condemnation from international rights groups, media said.   “We are concerned by the arrest of prominent Hong Kong businessman and publisher Jimmy Lai and two other longtime advocates for civil liberties and democracy,” Morgan Ortagus, a spokeswoman for the U.S. State Department, said on Friday.  “We expect Hong Kong authorities not to use law enforcement selectively for political purposes, and to handle cases fairly and transparently,” she added in a statement.  The spokeswoman also called for the rule of law and Hong Kong people’s rights to freedom of peaceful assembly and freedom of expression to be preserved.  The police said three local men, aged 63 to 72, were arrested for suspected participation in a non-approved gathering but did not confirm their names.  Authorities in the former British colony have arrested more than 7,000 people for involvement in Hong Kong’s protests, many on charges of rioting that can carry jail terms of up to 10 years. It is unclear how many are still in custody.  The arrest of the three men was outrageous, said Chris Patten, the last British governor of Hong Kong, adding that there was no doubt its government was acting at Beijing’s instructions.  “This decision will send yet another signal to the world that the Chinese Communist Party is intent on throttling decency and freedom in Hong Kong,” Patten said.  Lai, a self-made millionaire who has made financial contributions to Hong Kong’s pro-democracy movement and been a target of criticism by mainland Chinese media, was arrested in 2014 for refusing to leave a key pro-democracy protest site.  After the arrest he resigned as editor in chief of Apple Daily. He has also come under scrutiny from Hong Kong’s anti-graft agency, which raided his home in 2014.  In an editorial on Friday, China’s state-owned Global Times tabloid called Lai “a force of evil”, rather than the “hero” of democracy painted by the West.   “..he is a traitor, a criminal and a force of evil who has sowed violence and chaos in arguably one of the freest and most prosperous cities in the world,” it added. 	Reuters
