index	url	date	headline	body	source
0	https://www.scmp.com/news/hong-kong/law-and-crime/article/3047898/unexploded-ied-found-shenzhen-border-control-point	2020-01-28	Unexploded IED found at Shenzhen border control point, after suspected bomb destroys second Hong Kong toilet in 24 hours	An improvised explosive device was discovered in a rubbish bin at the Shenzhen Bay Control Point on Tuesday morning, just 12 hours after a Hong Kong public toilet was set ablaze by a suspected home-made bomb, making it the third such incident in the past 48 hours. making it the third such incident in the past 48 hours The palm-sized device at the border station, which police said contained a nitrate-based explosive, was discovered by a security guard at about 10.25am on Tuesday and drew about 20 police officers in riot gear to the scene. No injuries were reported. A message circulating afterward on the encrypted Telegram messaging app, nearly identical to one that followed Monday morning’s bombing at the Caritas Medical Centre in Cheung Sha Wan, seemed to claim responsibility for the border incident, saying it was “only a start” and demanding the government “close the border in two days”. At a press briefing on Tuesday, superintendent Alick McWhirter of the Explosive Ordnance Disposal Unit said the device, which included a light bulb, cable wire and a circuit board, was designed to be detonated by mobile phone. “The quantity [of explosive material] being such that had this device exploded, it would potentially have caused either death or serious injury,” he said.  Monday night’s attack came to light thanks to a cleaner, who called police at 10.50pm after discovering a toilet ablaze in Kowloon’s King George V Memorial Park. Noticing a strange odour, the cleaner had walked towards the public toilet, where she saw two people run out of a stall for the disabled. No one was injured in the fire, but a toilet seat was seriously damaged.  Officers from the Explosive Ordnance Disposal Unit arriving at the scene collected two cans and a glass bottle, among other items, as evidence. A police source said the case, which has been classified as arson, was believed to have been the result of an improvised incendiary device.  Earlier on Monday, at 2.30am, a home-made bomb went off in a men’s toilet cubicle at the Caritas Medical Centre in Cheung Sha Wan. While no one was hurt, about 20 patients were evacuated, and service at the hospital was limited until later in the morning. Police have been investigating whether the hospital explosion was linked to anti-government protest violence, according to sources, suspecting the home-made device may have been detonated to pressure the government into closing the city’s borders with the mainland in response to the coronavirus epidemic. A message on Telegram, an app widely used by protesters, said the Cheung Sha Wan attack was “just a warning” and “there will be more real bombs to come”, as closing Hong Kong’s borders was the only way to prevent the coronavirus outbreak from worsening in the city. Organised Crime and Triad Bureau senior superintendent Li Kwai-wah told the press on Tuesday that his department will be handling the case, but no suspects had been identified yet. He said the maximum penalty for people in unlawful possession of these devices was 14 years behind bars. That would increase to 20 years if they put the explosives into use, and a life sentence if injuries were caused. “When the whole city is fighting an epidemic, why are these people still committing such acts? It’s very infuriating really,” Li said. Secretary for Security John Lee Ka-chiu warned two weeks ago of “high risks of home-made bombs” after police uncovered similar cases. 	SCMP
1	https://www.scmp.com/news/hong-kong/society/article/3047804/struggling-hong-kong-apparel-shops-say-little-rhyme-reason	2020-01-28	Struggling Hong Kong apparel shops say little rhyme, reason to what is being stopped at border by mainland China customs	Hong Kong apparel and eyewear shops already crippled by more than seven months of social unrest say the number of items banned from entering the city by mainland China customs – once limited to gear associated with protesters – has quietly been expanding. Apparel companies recently told the Post that lists of banned items had expanded to include everything from white tops and colourful hoodies to normal eyeglasses. Post One manager for a Hong Kong-based firm that produces clothing for European luxury brands at a factory in Shenzhen, said single pieces of black fabric and tops featuring metal buckles or buttons had been stopped in recent months. “I ordered a sample of A3-sized black fabric recently for a client in Europe, but the shipment to Hong Kong was stopped without explanation,” said Daisy, who gave a pseudonym to protect her identity. Her company has traditionally used SF Express, one of China’s largest courier companies, to deliver 700 to 1,000 items of clothing each month from their Shenzhen factory to Hong Kong, before then exporting them onwards to Europe. During months of political turmoil, the red line set by mainland Chinese customs’ had varied according to the social situation, she said, with goods consistently subjected to a higher level of scrutiny in the wake of mass protests or incidents related to the anti-government movement.  “On some sensitive days, even white miniskirts were banned. I cannot get the logic of how it’s related to the protests,” she said. Instead of attempting to move bulk orders of black clothing through the delivery giant, Daisy has developed a routine of travelling back and forth from the mainland factory to carry goods back to Hong Kong in small batches. “It’s just like ‘ants moving homes’ as the Chinese saying goes,” she said.  But to avoid having items deemed sensitive confiscated, she has limited herself to three dozen items at a time on cross-border trips. She recalled it once took about 10 days to have black-coloured items returned after they were held up by customs. China bans exports of black clothing to Hong Kong amid protests 17 Oct 2019 China bans exports of black clothing to Hong Kong amid protests 17 Oct 2019   To pile up stock before workers in Shenzhen went on holiday, Daisy mobilised her family members and friends to drive to the mainland a couple of times a day to carry clothing back to the city. “We spent hours on logistics but no time on handling other work at all,” she complained. Another Hong Kong seller, who founded an online sportswear shop in May last year, a month before protests broke out, said his business was crippled by the ban on hooded tops and dark-coloured clothing from a factory in Dongguan, though other items have been affected as well. The seller, who wished to remain anonymous, said he recently placed an order with SF Express to ship a multicoloured windbreaker as a test. The courier’s real-time tracking system showed that the windbreaker arrived in Hong Kong, only to be sent back to the mainland factory the same day, he said. “[SF Express] did not give any explanation for this. I guess it’s because the windbreaker belongs to hooded clothing, which mainland authorities may regard as outfits protesters can wear to prevent them from being identified,” he said. He recalled avoiding confiscation by mainland customs by asking the courier to first ship single black tops from the mainland factory to Taiwan, then arranging for a Taiwan-based courier to ship the goods to Hong Kong. “The delivery took a whole week and cost double,” he said. “But we chose not to abandon the order. We do not want to disappoint our clients.” The founder said mainland authorities had issued an internal notice to the factory in Dongguan, warning that “batches of sensitive items were delivered to Hong Kong by SF Express and other courier companies”. “If similar cases are found, concerned courier companies will face a top level of punishment,” the authorities warned, without specifying the potential penalty. For his online business, it has been a devastating blow. “Unlike sizeable apparel companies, who can ship their clothing in containers to Southeast Asian countries such as Vietnam to evade the customs check, we cannot bear the costs of delivering items elsewhere before sending them back to Hong Kong,” he said. How China’s ban of black clothing exports to Hong Kong is hitting one brand 24 Oct 2019 How China’s ban of black clothing exports to Hong Kong is hitting one brand 24 Oct 2019 To get around the restrictions, he abandoned the winter collections in the latter half of last year and invested mainly in summer sportswear with light-coloured clothing without hoods. In addition to the apparel industry, a few eyewear companies have also reported bans on some of their products, months after safety goggles were first stopped from entering Hong Kong. One eyewear designer, whose upmarket glasses are produced in a Guangzhou factory, said he had received two reports that dozens of their glasses had been stopped from entering Hong Kong in November and December, despite having observed proper declaration procedures. “Officers verbally explained to our factory manager that glasses were sensitive, as they belong to the category of goggles,” the designer, who gave his name as Alex to protect his identity, said. He added that the bans appeared to be temporary, as the same products were allowed through customs earlier this month. SF Express, the Chinese courier giant, is popular in Hong Kong thanks to its extensive network of pickup spots and service centres. It is also the official logistics service provider of Taobao, the online shopping platform owned by Alibaba, owner of the South China Morning Post. South China Morning Post The company did not give an official response to the Post about the bans. Post Asked for a list of banned products and reasons for the restrictions, a customer services officer only replied through a messaging app that “deliveries have been normal except items prohibited or supervised under the law and regulations”. Similar bans have also been seen across other players in the courier sector including STO Express, YTO Express and 3speed Express. A notice placed at the top of 3speed Express’s Facebook page said Chinese customs “ramped up inspection of offensive items to Hong Kong” and required them to halt delivery of a list of products that included towels, drones, speakers, horticulture scissors, flashlights and binoculars. Compared with its competitors, Taobao appeared more frank about its reasoning behind prohibiting the delivery of certain items, stating on its official website that items which “might harm China’s politics, economics, culture and morality” are prohibited. It did not provide a list of the items that could be banned. The Post has approached the customs department in Shenzhen for comment. Post 	SCMP
2	https://www.scmp.com/news/hong-kong/politics/article/3047702/taiwanese-sending-protest-equipment-messages-solidarity	2020-02-17	The Taiwanese sending protest equipment, messages of solidarity to Hong Kong demonstrators	Some in Taiwan may find it strange that crowds of Hongkongers flew to their island to observe the presidential poll, attend campaign rallies and join locals in celebrating the re-election of Tsai Ing-wen. But it is not all one-way traffic. In Taipei, a church, book stores and cafes are lending their support to anti-government protesters 700km away in Hong Kong. One of the movement’s biggest backers in Taiwan is the Chi-Nan Presbyterian Church, which has set up a “Lennon Wall” with a huge banner bearing the words “Safeguard freedom, let’s add oil with Hong Kong”. The congregation has also sent piles of protective gear such as hard hats to demonstrators in Hong Kong – which is in its eighth month of social unrest sparked by the government’s now-withdrawn extradition bill – and supports those protesters who have fled to Taiwan. social unrest extradition bill “It all started with a prayer meeting in June last year, when protests broke out in Hong Kong,” said Kong Chao-ksun, a volunteer at the church.  “After that, many church members wanted to offer a helping hand by sending us materials, hoping we would transfer it to Hong Kong.” Equipment worth about US$530,000 (HK$4.1 million) including gas masks, helmets, air filters, ice packs and alcohol wipes has been gathered by the church. At its peak, it collected 800 helmets in a single week.  Some of that has been distributed by the church itself while the rest has been sent to Hong Kong through different channels.  The church has also offered humanitarian assistance to 200 protesters who have fled to Taiwan, including a couple whose story has touched Kong. Fearing arrest and needing a break from the chaos in Hong Kong, they visited the self-ruled island twice, Kong recalled. “We promised to keep in touch and have dinner with them when they are back in Taipei, but we lost contact with them soon after they returned to Hong Kong,” said the 61-year-old volunteer, who believes they were arrested.  Beijing and Hong Kong protesters react to Tsai Ing-wen’s win in Taiwan presidential election Beijing and Hong Kong protesters react to Tsai Ing-wen’s win in Taiwan presidential election What started as vehement opposition to proposed changes to Hong Kong’s extradition laws in June, has morphed into a wider anti-government movement focused on democratic reforms and police accountability. Hong Kong’s protests have boosted the popularity of Tsai, head of the independence-leaning Democratic Progressive Party (DPP), who used the unrest as a cautionary tale for the self-ruled island against encroachment from mainland China. She has warned Taiwan’s population of 23 million of being swallowed up by Beijing, which considers the island part of its territory that must one day be brought under its fold, by force if necessary. Tsai netted a historic 8.17 million votes in the January 11 election, comfortably beating her main challenger Han Kuo-yu, from the mainland-friendly Kuomintang (KMT).   Kong agreed that fears Beijing would one day control Taiwan, and turn it into the next Hong Kong, had made Taiwan people feel more connected with Hong Kong protesters. Taiwan went through “white terror” from 1949 to 1987, when martial law was imposed by the government led by the KMT and political dissidents were suppressed. Kong, who has written a book on that era, said he believed Taiwan’s history had made people wary of the situation in Hong Kong. “What is happening in Hong Kong is like what happened in Taiwan during the times of white terror,” he said. “We experienced such kinds of institutional violence 70 years ago.” Kong said Hong Kong protesters who fled to Taiwan found themselves in a similar situation to that faced by dissidents during the white terror, when political persecution prevented many from returning home. Driven by those memories, he revealed the church was considering setting up a foundation or a non-governmental organisation to help Hongkongers, in a move he said would replicate American and European assistance for the island’s white terror victims in the last century. On top of the church’s support, some shops in Taipei are helping people from both cities connect. Philo Cafe in Taipei, co-founded by a few local NGOs, has put up a sign at the entrance saying “Stand with HK”. As a cafe selling books on philosophy, social movement and justice, its owners have hosted seminars and an exhibition on Hong Kong’s anti-government movement, inviting guests from the city. Son Yu-liam, a co-founders of the cafe, is also secretary general of the Taiwan Labour Front, a union founded in 1984. Son said: “Most Taiwan people support the movement in Hong Kong, as we share the same faith: our belief in pursuing freedoms and democracy. “From an advocacy perspective, we also hope that more locals could understand the situation in Hong Kong, as Taiwan has been facing the same pressure from Beijing.” A bookstore called Poetry in Life, which is also in Taipei, has put up donation boxes to raise funds for protesters in Hong Kong. Pro-democracy banners, posters and a Lennon Wall, where messages of support for protesters are posted, can also been seen in the shop. can also been seen in the shop. In the past, Hong Kong was a lighthouse to us as we had no freedoms to publish certain books. But it seems the situation has reversed Liu Gi The shop was founded by Hong Kong poet Luk Wing-yu, whose husband Liu Gi, 40, is Taiwanese and works in the publishing industry. Liu said: “As some Hongkongers know about my shop, they send us products supporting the movement for sale towards charity. “In the past, Hong Kong was a lighthouse to us as we had no freedoms to publish certain books. But it seems the situation has reversed.” He hoped the two jurisdictions could support each other and safeguard freedoms in the face of “threats from China”. Beijing’s top leaders have been wary of closer ties between Hong Kong and Taiwan, fearing connections between what they see as “pro-independence forces”. Son, the unionist, is not shy to admit he is supportive of separatist movements in the area. On election day earlier this month, Son’s bookstore put up banners supporting independence for Hong Kong, Taiwan and even Tibet as he organised a party to witness the vote count and Tsai’s subsequent victory. “It is expected that Beijing will smear us as Taiwan’s independence forces interfering with Hong Kong affairs,” he said. “But I still welcome more Hongkongers to come to this little cafe and brainstorm how we can resist the Chinese Communist Party. “Hongkongers fight on just because Beijing has failed to give them democracy as promised. It is Beijing which has to think about that clearly.” Purchase the China AI Report 2020 brought to you by SCMP Research and enjoy a 20% discount (original price US$400). This 60-page all new intelligence report gives you first-hand insights and analysis into the latest industry developments and intelligence about China AI. Get exclusive access to our webinars for continuous learning, and interact with China AI executives in live Q&A. Offer valid until 31 March 2020. Purchase the China AI Report 2020 brought to you by SCMP Research and enjoy a 20% discount (original price US$400). This 60-page all new intelligence report gives you first-hand insights and analysis into the latest industry developments and intelligence about China AI. Get exclusive access to our webinars for continuous learning, and interact with China AI executives in live Q&A. Offer valid until 31 March 2020. Purchase the China AI Report 2020 Purchase the China AI Report 2020 Purchase the China AI Report 2020 brought to you by SCMP Research and enjoy a 20% discount (original price US$400). This 60-page all new intelligence report gives you first-hand insights and analysis into the latest industry developments and intelligence about China AI. Get exclusive access to our webinars for continuous learning, and interact with China AI executives in live Q&A. Offer valid until 31 March 2020. 	SCMP
3	https://www.scmp.com/news/hong-kong/politics/article/3047697/more-80-radical-protesters-wanted-hong-kong-police-have	2020-01-27	More than 80 radical protesters wanted by Hong Kong police have taken refuge beyond their reach in Taiwan	More than 80 radical protesters suspected of hurling petrol bombs during anti-government demonstrations, storming the city’s legislature and physically attacking ideological opponents, have fled Hong Kong to Taiwan, police sources have told the Post. storming the city’s legislature physically attacking ideological opponents Post Police realised they had escaped when officers went to their homes to arrest them after establishing their identities. “Most are in their 20s and 30s and unemployed. Only a few are students,” one source said. As there was no extradition agreement between Hong Kong and Taiwan, he said, there was nothing more police could do. “They have been placed on the list of people wanted by police, and they will face arrest if they return to the city,” he said. Hong Kong has experienced more than seven months of protests sparked by the now-withdrawn extradition bill, which would have allowed the transfer of fugitives to jurisdictions with which Hong Kong does not have existing agreements, including Taiwan and mainland China. more than seven months of protests  More than 7,000 people have been arrested since June for various protest-related offences, including rioting, possessing explosives and firearms without a licence, and arson. The sources said police had established that about 220 protesters who feared arrest for their actions had gone to Taiwan.  Of that total, only between 80 and 90 are wanted in connection with alleged acts of violence.  “The rest of the 220 radicals are not wanted by police, because officers have no evidence to show they were involved in violence,” he said. “They learned that some of their friends had been arrested and feared they would be next, so that they chose to escape.” It is understood that among those in Taiwan wanted by police are several suspects who were present during a horrific incident last November, when a 57-year-old man was doused with a flammable solution and set alight along a footbridge in Ma On Shan. More than 20 others in Taiwan have been identified as being among the hundreds who stormed and vandalised the city’s legislature last July 1. Officers collected thousands of pieces of evidence from the trashed Legco complex, but managed to identify only a few dozen radicals. “Police identified them because they left fingerprints in the Legislative Council building,” the source said, adding that most of the protesters present could not be identified, because they wore masks, gloves and helmets. So far, fewer than 20 have been arrested in connection with the storming of Legco. The source said the rest of the radicals in Taiwan wanted by police include those who took the law into their own hands and attacked opponents as well as those who hurled petrol bombs and bricks at police or vandalised shops and MTR stations. Hong Kong protesters in Taipei celebrate Tsai Ing-wen’s election victory 12 Jan 2020 Hong Kong protesters in Taipei celebrate Tsai Ing-wen’s election victory 12 Jan 2020 He refused to say if those in Taiwan include members of a group accused of plotting to use explosives and firearms against police officers in anti-government rallies in December. plotting to use explosives and firearms against police officers Between December 8 and January 17, police seized an AR-15 assault rifle, four pistols and hundreds of bullets. Two home-made bombs were also found on the grounds of a Wan Chai school in December. The sources said the radicals retreated to Taiwan knowing there is no extradition arrangement, and they have been granted extended tourist visas to stay on the self-ruled island. Earlier this month, a 21-year-old student who fled to Taiwan after storming Legco last July said he feared he might have to move to Europe or the United States if president Tsai Ing-wen failed in her re-election bid. After she won, the student told the Post : “Now, I feel relieved and more certain about the future. I hope I can focus on finishing my degree here.” the student told the Post Post Tsai and her Democratic Progressive Party have said repeatedly they will do all they can to help Hong Kong protesters seeking shelter in Taiwan. In December, she said there was no need for Taiwan to institute a refugee law, as existing regulations governing the island’s relations with Hong Kong and Macau were sufficient. 	SCMP
4	https://www.scmp.com/news/hong-kong/law-and-crime/article/3047723/hong-kong-protests-tear-gas-fired-second-night-row	2020-01-27	Hong Kong protests: tear gas fired for second night in row in Mong Kok as radicals block roads and ‘assault passers-by’	Hong Kong police fired tear gas in Mong Kok for the second night in a row, after a number of skirmishes between officers and anti-government protesters. Rounds of tear gas were fired at about 12.45am on Monday on Portland Street in the popular entertainment and shopping hub after police said they came under attack. “A large group of rioters gathering in Portland Street, Mong Kok behaved in a disorderly manner and disturbed public peace,” a police statement said. “Despite repeated warnings by police, the rioters refused to leave, and after midnight, threw hard objects at police officers at the junction of Shantung Street and Portland Street. “In the face of the situation, police officers have deployed tear gas to effect the dispersal of rioters, who are warned to stop all unlawful acts immediately.”  The stand-off continued into the early hours on Monday. Earlier in the evening, tensions flared as protesters blocked roads, prompting riot police to arrive on the scene. Officers raised a black flag warning of the use of tear gas.  The force said passers-by were assaulted as protesters blocked roads, forcing the police’s intervention to clear the streets and unlock traffic jams. “Around 9pm, rioters blocked roads and behaved in a disorderly manner at the junction of Nathan Road and Nelson Street, Mong Kok,” police said in a statement on Sunday evening.  “Some rioters even assaulted three innocent passers-by, taking the law into their own hands. “Police warn all rioters to stop all unlawful acts and will take resolute enforcement actions.” On Saturday, tear gas was fired on the first day of the Lunar New Year, as people gathered to mark the fourth anniversary of the Mong Kok riot of 2016. Riot police presence grew early into the evening on Sunday outside the Langham Place shopping centre on Portland Street. Police had earlier entered the mall, following reports of a disturbance. Just before 10pm, police raised the tear gas warning. Street vendors donned masks but continued to sell fish balls and deep-fried tofu. The scenes were similar to the first night of the Lunar New Year in 2016, which prompted the riots later dubbed the “fishball revolution”. Four years ago on February 8, what started out as a dispute between vendors and crowd control officers rapidly escalated into a full-blown night of vandalism and arson, as a crowd led by pro-independence group Hong Kong Indigenous clashed with police. 	SCMP
5	https://www.scmp.com/news/hong-kong/politics/article/3047700/hong-kong-protests-applications-pour-government-cash	2020-01-26	Hong Kong protests: applications pour in for government cash to research city’s civil unrest	More than 200 applications have poured in from scholars and think tanks for a special government research grant to examine Hong Kong’s ongoing civil unrest. About a third have proposed studying the underlying causes of the anti-government protests and the participation of youth in policymaking, the Post has learned. anti-government protests Post Approved projects will receive grants of up to HK$500,000 through the public policy research funding scheme managed by the Policy Innovation and Co-ordination Office (Pico), a strategic research unit that reports directly to city leader Carrie Lam Cheng Yuet-ngor. Pico unveiled the special round of public policy funding last November, inviting researchers from universities, think tanks and non-governmental organisations to submit proposals for in-depth research to help identify the underlying causes and solutions for Hong Kong’s deep-seated problems. It hoped the studies would provide “useful data and input” for an independent review committee proposed by Lam to break the political impasse. Anti-government protests triggered by the now-withdrawn extradition bill last June are in their eighth month, and have morphed into a wider movement demanding greater democracy and police accountability.  Lam has rejected protesters’ calls for an independent inquiry to look into allegations of police brutality, and instead floated the idea of a review committee to look at the reasons for the crisis. The special research grant attracted an overwhelming response by the deadline for applications in December.  An academic source, who is on the panel vetting the applications, said: “About a third are on the underlying causes of the protests and the participation of youth in policymaking.”  Pico suggested 12 research topics, including the underlying causes of the unrest, the public’s attitude to violence and the calls of “perishing together” with the authorities, the city’s governance and constitutional development, public participation in policymaking process, orientation of youth and school education, impact of social media, public mental health, and communication and conflict among family and friends. New Year’s Eve protests in Hong Kong New Year’s Eve protests in Hong Kong The source said the panel could make its choices by February or March. It is not known how many grants will be given, but successful applicants will be expected to complete their projects within six months.   Pico declined to disclose the number of applications. Political scientists on the selection panel cautioned that the research scheme could not be expected to deliver any quick fixes to the city’s problems. “It is only meant to facilitate discussion, but may not provide solutions,” said Cheung Kwok-wah, from Open University. To find solutions, he said, both sides across the political divide had to be willing to engage in dialogue. “We are in a situation where even when some want to have dialogue, there’s no collective will in society to proceed with the dialogue,” Cheung said. A touchy subject: government accused of stifling debate in city 11 Jan 2020 A touchy subject: government accused of stifling debate in city 11 Jan 2020 City University’s Ray Yep Kin-man said even if the research helped to identify the causes of Hongkongers’ grievances, it could not resolve the city’s political problem. “The studies have to be completed by September, but can we sit on the crisis till September? If we need to wait so many months, we will pay a higher price,” he said. Professor of politics Linda Li Che-lan, also from City University, said while research could provide evidence to improve ongoing and future policymaking, the government should not delay finding a solution to the political crisis. She noted that despite criticism, the government had insisted on setting up an independent review committee rather than a commission of inquiry. “The government should not wait, it should launch the review sooner rather than later,” she said. “But the government cannot shy away from the issue of police operations, or it will not be able to appease the public. It will also be unfair to the police, who are only executing the government's policy.” 	SCMP
6	https://www.scmp.com/news/hong-kong/law-and-crime/article/3047693/hong-kong-action-choreographer-linked-bomb-plot	2020-01-26	Hong Kong action choreographer linked to bomb plot, charged with possessing array of weapons		SCMP
7	https://www.scmp.com/news/hong-kong/society/article/3047684/hong-kong-government-must-listen-people-year-rat-according	2020-01-26	Hong Kong government must ‘listen to the people’ in Year of the Rat, according to interpretation of fortune stick drawn by pro-Beijing lawmaker Kenneth Lau		SCMP
8	https://www.scmp.com/news/hong-kong/politics/article/3047661/hong-kong-protests-tear-gas-fired-first-day-lunar-new-year	2020-01-26	Hong Kong protests: tear gas fired on first day of Lunar New Year as crowd gathers to mark fourth anniversary of Mong Kok riot		SCMP
9	https://www.scmp.com/news/hong-kong/society/article/3047581/hong-kong-feng-shui-masters-say-worst-over-carrie-lam-unrest	2020-01-25	Hong Kong feng shui masters say worst is over for Carrie Lam, unrest will continue but weaken in Year of the Rat		SCMP
