	url	date	headline	body	source
0	https://www.scmp.com/news/china/diplomacy/article/3032418/nba-row-heightens-foreign-companies-fears-they-could-cross	2019-10-11	NBA row heightens foreign companies’ fears they could cross China’s ever-shifting red lines as fallout from Rockets GM’s Hong Kong protest tweet continues	As the row in China over the NBA continues to rage, foreign businesses in the country are becoming increasingly concerned that they will fall afoul of Beijing’s hardening political line. Businesses have long been vulnerable to boycotts from Chinese consumers if they become embroiled in controversy – which could range from anything from a dispute about the country’s territorial integrity to adverts seen as racist – but the fallout from the NBA row has heightened their concerns. Steve Dickinson, a lawyer helping multinationals working in China, said his clients were increasingly nervous about crossing Beijing’s often unpredictable red lines. “How can you tell thousands of employees that they’re not allowed to post something online. Nobody knows what will set them off, and that is a severe problem,” he said. “You never know what the Chinese government is going to get angry about.”	SCMP
1	https://www.scmp.com/news/hong-kong/education/article/3032417/hong-kong-protests-students-least-two-elite-schools-wave	2019-10-10	Hong Kong protests: students from at least two elite schools wave US and revolutionary flags on campus while others wear black for Dress Casual Day	Students from at least two Hong Kong elite secondary schools have waved American and “revolutionary” flags on campus in the latest example of continuing anti-government protests in the city. In a video circulated on social media on Thursday, about 100 students in uniform from Shatin Tsung Tsin Secondary School in Tai Wai were seen gathered on the school’s basketball court and on staircases, belting out Glory to Hong Kong, the popular protest anthem regularly sung at street demonstrations and in shopping malls, as a student held up and waved the US flag. Glory to Hong Kong Meanwhile, at St Paul’s College in Mid-Levels, 14 students waved flags emblazoned with the rallying cry “Liberate Hong Kong; revolution of our times” during recess. They were surrounded by about 200 fellow students chanting and singing the same song, while members of the school band played trombones, trumpets and euphoniums.	SCMP
2	https://www.scmp.com/news/hong-kong/politics/article/3032415/founders-daughter-hits-out-hong-kong-protesters-over	2019-10-10	Founder’s daughter hits out at Hong Kong protesters over vandalism of Maxim’s outlets, blaming education system for failure to instil sense of Chinese identity in locals	The daughter of the founder of catering giant Maxim’s Group has hit out at Hong Kong protesters who vandalised the company’s eateries because of her political stance, blaming the city’s education system for a failure to nurture a sense of national identity in local youths. Annie Wu Suk-ching made the remarks in an interview with the China News Service agency after protesters escalated their attacks and vented their anger on businesses under Maxim’s because of earlier comments she made against the anti-government demonstrations, which were triggered by the now-withdrawn extradition bill. Wu, founder of the first mainland China-Hong Kong joint venture, Beijing Air Catering, admitted the local restaurant chain had been affected after she spoke at the UN’s top human rights body last month about the unrest engulfing the city. “To counter others, they desperately launch personal attacks, to strike at anything that is related to us. I absolutely have no links with Maxim’s personally because I don’t work at Maxim’s,” Wu said in the interview released on Wednesday night. “[Maxim’s employees] work every day. Now it makes them mentally stressed during work. So I don’t think it’s an economic problem. It’s not a problem against the [extradition] bill. It’s a political problem. It’s political suppression.”	SCMP
3	https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3032390/more-40-cent-hongkongers-want-emigrate-amid	2019-10-11	More than 40 per cent of Hongkongers want to emigrate amid ongoing protests, survey finds	More than 40 per cent of Hongkongers want to emigrate amid the ongoing social unrest, according to a recent survey by Chinese University, compared with around a third of respondents who gave the same answer in December last year. The Hong Kong Institute of Asia-Pacific Studies at the university interviewed 707 individuals by phone between September 20 and 26, with 42.3 per cent indicating they would emigrate if they had a chance. In December 2018, 34 per cent of respondents had given a similar response. Of those who would like to move abroad, 23 per cent had already started planning for emigration. Releasing the survey results on Thursday, the university said the top two push factors for respondents planning to move abroad were “too much political dispute or social cleavage” (27.9 per cent) and “no democracy in Hong Kong” (21.5 per cent).	SCMP
4	https://www.scmp.com/news/china/diplomacy/article/3032396/china-denies-manipulating-us-firms-nba-dispute-rumbles	2019-10-11	Game on for NBA’s LA Lakers and Brooklyn Nets in Shanghai as China says it’s still open for American business	Thousands of Chinese basketball fans, many waving national flags, jammed a Shanghai sports stadium on Thursday night to see two NBA teams face off in a preseason game as a row puts the American league’s future in China in jeopardy. The 18,000-seat Mercedes-Benz Arena was at near capacity for the game between the Los Angeles Lakers and the Brooklyn Nets, an event that went ahead despite a furore over a tweet by Houston Rockets general manager Daryl Morey last week in support of anti-government protesters in Hong Kong. tweet by Houston Rockets general manager Daryl Morey anti-government protesters Thursday’s National Basketball Association game also came on the eve of a new round of China-US trade talks in Washington, with negotiators looking for an end to the year-long dispute that has cast a long shadow over the world’s economy. China-US trade talks In his first public comment on the NBA controversy, US President Donald Trump criticised those who “were pandering” to China.	SCMP
5	https://www.scmp.com/news/china/society/article/3032391/china-app-store-pulls-us-news-app-covered-hong-kong-protests	2019-10-10	Apple’s China App Store pulls US news app that covered Hong Kong protests	An app produced by an American media company that has given extensive coverage to the protests in Hong Kong has become the latest to be removed from Apple’s App Store in mainland China, for providing “illegal content” in the country. Apple Zach Seward, chief executive of Quartz, which reports on the global economy, said in an interview with technology news website TheVerge.com that his company was being targeted not only because of its reports about the pro-democracy protests but also its articles on how to use virtual private networks (VPNs) to bypass China’s strict controls on internet access. pro-democracy protests As well as the removal of its app from the online shop, Quartz’s website – like those of many media and technology firms, including the South China Morning Post, The New York Times, The Guardian, the BBC, Google and Facebook – is blocked in mainland China. South China Morning Post The New York Times The Guardian “We abhor this kind of government censorship of the internet and have great coverage of how to get around such bans around the world,” Seward said in a statement. The Verge report said Quartz had been notified by Apple of the app’s removal on the grounds that it “includes content that is illegal in China”, but did not say when it happened.	SCMP
6	https://www.scmp.com/news/hong-kong/law-and-crime/article/3032389/hong-kong-protests-police-have-right-remove-masks	2019-10-10	Hong Kong protests: police have right to remove masks from reporters and patients at any time under new law, top brass tell frontline officers	Hong Kong police have the right to remove masks from reporters and patients at any time, the force’s top brass have told frontline officers and that anyone who resists can be arrested. The Post was told the force held its first seminar with 400 officers at the police headquarters in Wan Chai on Wednesday evening, briefing them on the details of the newly enacted anti-mask law and related guidelines. Post The city’s leader, Chief Executive Carrie Lam Cheng Yuet-ngor, last Friday invoked the colonial-era Emergency Regulations Ordinance to enact a ban on masks at public assemblies after the 17th straight weekend of protests triggered by the government’s now-withdrawn extradition bill. Carrie Lam Cheng Yuet-ngor protests The Prohibition on Face Covering Regulation states that performing an activity connected to employment that requires facial coverings for physical safety can be used as a “reasonable excuse” or defence when a person is prosecuted. The same exemption applies to those with a “pre-existing medical or health reason”. Carrie Lam hits back at Chris Patten’s criticism of Hong Kong’s anti-mask law Carrie Lam hits back at Chris Patten’s criticism of Hong Kong’s anti-mask law Carrie Lam hits back at Chris Patten’s criticism of Hong Kong’s anti-mask law The law also gives police the power to remove a mask from anyone in a public place whenever they reasonably believe the person is wearing the covering to prevent identification.	SCMP
7	https://www.scmp.com/news/hong-kong/politics/article/3032381/hong-kong-taxi-driver-beaten-mob-after-car-rams-crowd	2019-10-10	Hong Kong taxi driver beaten by mob after car rams into crowd of protesters in Sham Shui Po gives account of crash	A taxi driver subjected to a vigilante beating after the vehicle he was driving ploughed into a crowd of protesters in Hong Kong has blamed the crash on someone reaching in and pulling on the steering wheel, the owner of the car said. Henry Cheng Kwok-chuen, 59, told his family the intervention on Sunday caused him to lose control of the taxi, leaving a woman injured, according to an account released by Jumbo taxi owner Chau Kwok-keung, who leased the vehicle to Cheng. The driver was then battered by a mob for allegedly targeting demonstrators while working in Sham Shui Po during an anti-government protest against the anti-mask law, which triggered fresh violence and outrage across the city last weekend. anti-mask law A 23-year-old woman reportedly suffered serious fractures to both her legs after the taxi mounted the pavement outside the Cheung Sha Wan government offices before smashing into a shopfront.	SCMP
8	https://www.scmp.com/news/china/politics/article/3032303/taiwans-president-tsai-ing-wen-urges-rejection-one-country-two	2019-10-11	Taiwan’s President Tsai Ing-wen urges rejection of ‘one country, two systems’ model she says fails Hong Kong	Taiwan’s President Tsai Ing-wen has denounced Beijing for its efforts to force the island into unification talks under the “one country, two systems” model which, she said, is failing Hong Kong. In her address on Thursday marking the 108th anniversary of the founding of the Republic of China – Taiwan’s official name– Tsai called on its citizens to firmly reject that model, which she said would threaten the self-ruled island’s survival. Taiwan president rejects ‘one country, two systems’ Taiwan president rejects ‘one country, two systems’ Taiwan president rejects ‘one country, two systems’ Arguing that “Hong Kong is on the verge of chaos due to the failure of one country, two systems,” Tsai said Taiwan must say no to the idea. Taiwan	SCMP
9	https://www.scmp.com/news/china/diplomacy/article/3032294/how-nba-crisis-crystallises-us-china-culture-clash-better	2019-10-10	How NBA crisis crystallises US-China culture clash better than the trade war	Washington’s flood of ill will towards Beijing may be spilling onto America’s streets, according to pundits and policymakers measuring the impact of the Twitter post that sparked the National Basketball Association’s China crisis. The since-deleted tweet supporting anti-government protesters in Hong Kong by Houston Rockets general manager Daryl Morey has elevated the topic of China’s censorship among Americans in a bigger way than US President Donald Trump’s trade war has highlighted trade imbalances, intellectual property violations and a host of other issues the US government has been pressuring Beijing about for decades. since-deleted tweet protesters in Hong Kong trade war “Nobody knows what an entity list is,” said Robert Daly, director of the Wilson Centre’s Kissinger Institute on China and the United States, referring to the US Commerce Department’s list of foreign firms that US companies are restricted from doing business with. “And everybody knows what the NBA is and who James Harden is, and they all know what South Park is.” entity list South Park The Commerce Department has put more than 100 Chinese firms and public security bureaus on its entity list this year for activities that allegedly undermined American national security or repressed the human rights of religious minorities in China – issues that have resonated among lawmakers and Washington policymakers since before Trump started his trade war with China last year. more than 100 NBA's Shanghai tour in disarray after Morey's Hong Kong protest tweet NBA's Shanghai tour in disarray after Morey's Hong Kong protest tweet NBA's Shanghai tour in disarray after Morey's Hong Kong protest tweet However, those matters have not dominated social media or talk show circuits as explosively as the NBA Twitter controversy that may lead to the end of the league’s business in China – a market it had been cultivating for decades – despite apologies from NBA players including the Rockets’ star player Harden, and evasive comments by Golden State Warriors coach Steve Kerr and San Antonio Spurs coach Gregg Popovich. apologies from NBA players	SCMP
10	https://www.scmp.com/news/hong-kong/society/article/3032287/swedish-tech-firm-yubico-hands-hong-kong-protesters-free	2019-10-10	Swedish tech firm Yubico hands Hong Kong protesters free security keys amid fears over police tactics online	A Swedish tech company renowned for encryption has donated hundreds of security keys to Hong Kong’s protest movement after an activist sought help in repelling police online. Sherry Chan Yuen-yung said in a Facebook post that Yubico had sent her 500 of its Yubikey devices after she wrote to the company requesting support in upgrading demonstrators’ cybersecurity. Yubico, set up in 2007, is best known for its signature invention Yubikey, which can be used for two-factor authentication for computers, networks and online accounts. The key plugs into the USB or lighting ports of computers and mobile phones. In response to the Post's inquiry about Yubico’s donation, the company said: “Yubico has a long-standing mission to ensure that people at high risk are protected online. Post's	SCMP
11	https://www.scmp.com/news/hong-kong/politics/article/3032238/heat-carrie-lam-deliver-goodie-laden-impactful-policy	2019-10-10	Heat is on for Carrie Lam to deliver goodie-laden, impactful policy address amid Hong Kong protest crisis but there’s also fear Legco may be besieged again	Hong Kong’s embattled leader is facing tremendous pressure to meet public expectations on her policy address next week amid a continuing protest crisis as insiders revealed that officials were struggling to come up with impactful “big bang” measures. The revelations came as sources confirmed that contingency plans were in place for Chief Executive Carrie Lam Cheng Yuet-ngor’s annual speech to be delivered through a recorded video message, as the Legislative Council meeting next Wednesday could be cancelled if protesters laid siege to the chamber. Sources also said housing and social welfare initiatives were likely to be key planks of Lam’s third policy blueprint. Housing measures would include another push for a starter-home scheme she launched two years ago and a limited resumption of the Tenants Purchase Scheme to help public housing tenants own their homes. housing Insiders also hinted that Lam had considered more eye-catching moves, such as reducing the number of mainland Chinese relocating to Hong Kong under the so-called one-way permit scheme to appeal to residents weary of new immigrants. But in the end, she decided not to go ahead with the move.	SCMP
